home_team,away_team,week,game_date,spread,total,home_score,away_score,spread_result,total_score,home_win
KC,BAL,1,2024-09-05,3.0,46.0,27.0,20.0,7.0,47.0,1
PHI,GB,1,2024-09-06,2.0,49.5,34.0,29.0,5.0,63.0,1
ATL,PIT,1,2024-09-08,4.0,43.0,10.0,18.0,-8.0,28.0,0
BUF,ARI,1,2024-09-08,6.5,46.0,34.0,28.0,6.0,62.0,1
CHI,TEN,1,2024-09-08,4.0,43.0,24.0,17.0,7.0,41.0,1
CIN,NE,1,2024-09-08,8.0,40.5,10.0,16.0,-6.0,26.0,0
IND,HOU,1,2024-09-08,-3.0,49.0,27.0,29.0,-2.0,56.0,0
MIA,JAX,1,2024-09-08,3.5,49.5,20.0,17.0,3.0,37.0,1
NO,CAR,1,2024-09-08,3.5,41.5,47.0,10.0,37.0,57.0,1
NYG,MIN,1,2024-09-08,-1.0,42.5,6.0,28.0,-22.0,34.0,0
LAC,LV,1,2024-09-08,3.0,41.0,22.0,10.0,12.0,32.0,1
SEA,DEN,1,2024-09-08,6.5,42.0,26.0,20.0,6.0,46.0,1
CLE,DAL,1,2024-09-08,2.5,42.0,17.0,33.0,-16.0,50.0,0
TB,WAS,1,2024-09-08,4.0,42.0,37.0,20.0,17.0,57.0,1
DET,LA,1,2024-09-08,5.0,54.0,26.0,20.0,6.0,46.0,1
SF,NYJ,1,2024-09-09,3.5,43.0,32.0,19.0,13.0,51.0,1
MIA,BUF,2,2024-09-12,2.5,48.5,10.0,31.0,-21.0,41.0,0
BAL,LV,2,2024-09-15,9.0,41.0,23.0,26.0,-3.0,49.0,0
CAR,LAC,2,2024-09-15,-5.0,39.0,3.0,26.0,-23.0,29.0,0
DAL,NO,2,2024-09-15,6.5,47.0,19.0,44.0,-25.0,63.0,0
DET,TB,2,2024-09-15,7.5,51.5,16.0,20.0,-4.0,36.0,0
GB,IND,2,2024-09-15,-3.0,41.5,16.0,10.0,6.0,26.0,1
JAX,CLE,2,2024-09-15,3.0,41.5,13.0,18.0,-5.0,31.0,0
MIN,SF,2,2024-09-15,-4.5,46.5,23.0,17.0,6.0,40.0,1
NE,SEA,2,2024-09-15,-3.5,39.0,20.0,23.0,-3.0,43.0,0
TEN,NYJ,2,2024-09-15,-3.5,41.5,17.0,24.0,-7.0,41.0,0
WAS,NYG,2,2024-09-15,1.5,42.5,21.0,18.0,3.0,39.0,1
ARI,LA,2,2024-09-15,-1.0,47.5,41.0,10.0,31.0,51.0,1
DEN,PIT,2,2024-09-15,-3.0,36.5,6.0,13.0,-7.0,19.0,0
KC,CIN,2,2024-09-15,6.5,47.5,26.0,25.0,1.0,51.0,1
HOU,CHI,2,2024-09-15,6.0,45.5,19.0,13.0,6.0,32.0,1
PHI,ATL,2,2024-09-16,5.5,46.5,21.0,22.0,-1.0,43.0,0
NYJ,NE,3,2024-09-19,6.5,39.0,24.0,3.0,21.0,27.0,1
CLE,NYG,3,2024-09-22,6.5,38.0,15.0,21.0,-6.0,36.0,0
IND,CHI,3,2024-09-22,1.5,43.0,21.0,16.0,5.0,37.0,1
MIN,HOU,3,2024-09-22,-2.0,46.0,34.0,7.0,27.0,41.0,1
NO,PHI,3,2024-09-22,2.5,49.0,12.0,15.0,-3.0,27.0,0
