player_name,position,position_group,from_team,to_team,move_type,2024_grade,projected_2025_grade,grade_change,snap_percentage_2024,snap_tier,impact_score,impact_tier,importance_to_old_team,importance_to_new_team,contract_years,contract_value,aav,contract_tier,move_date,move_year
Josh Allen,QB,Offense - Skill,Buf,Buf,Extension,9.5,9.5,0.0,100.0,Workhorse,2.5,Elite,10.0,10.0,6,330000000,55000000.0,Superstar,2025-06-02,2025
Matthew Stafford,QB,Offense - Skill,LAR,LAR,Restructure,8.5,8.3,-0.1999999999999993,90.0,Workhorse,2.5,Elite,10.0,10.0,2,40000000,20000000.0,Star,2025-06-02,2025
Geno Smith,QB,Offense - Skill,Sea,LV,Trade + Extension,8.0,8.2,0.1999999999999993,95.0,Workhorse,2.5,Elite,8.5,10.0,2,85500000,42750000.0,Superstar,2025-06-02,2025
Brock Purdy,QB,Offense - Skill,SF,SF,Extension,8.0,8.5,0.5,95.0,Workhorse,2.5,Elite,10.0,10.0,5,265000000,53000000.0,Superstar,2025-06-02,2025
Sam Darnold,QB,Offense - Skill,Min,Sea,Free Agent Signing,8.5,8.0,-0.5,90.0,Workhorse,2.42,Elite,8.5,9.5,3,100500000,33500000.0,Superstar,2025-06-02,2025
Russell Wilson,QB,Offense - Skill,Pit,NYG,Free Agent Signing,7.2,6.8,-0.40000000000000036,100.0,Workhorse,2.28,Elite,8.5,9.5,1,10500000,10500000.0,Starter,2025-06-02,2025
Aaron Rodgers,QB,Offense - Skill,UNSIGNED,Pit,Free Agent Pursuit,6.0,7.0,1.0,100.0,Workhorse,2.0,High,0.0,10.0,1,30000000,30000000.0,Star,2025-06-02,2025
Laremy Tunsil,LT,Offense - Line,Hou,Was,Trade,10.0,9.5,-0.5,100.0,Workhorse,2.0,High,9.0,10.0,2,50000000,25000000.0,Star,2025-06-02,2025
Ja'Marr Chase,WR1,Offense - Skill,Cin,Cin,Extension,9.8,9.5,-0.3000000000000007,95.0,Workhorse,1.71,High,10.0,10.0,4,161000000,40250000.0,Superstar,2025-06-02,2025
Derek Stingley Jr.,CB1,Defense - Secondary,Hou,Hou,Extension,9.0,9.2,0.1999999999999993,95.0,Workhorse,1.71,High,10.0,10.0,3,90000000,30000000.0,Star,2025-06-02,2025
Maxx Crosby,EDGE,Defense - Front,LV,LV,Extension,9.5,9.2,-0.3000000000000007,90.0,Workhorse,1.71,High,10.0,10.0,3,106500000,35500000.0,Superstar,2025-06-02,2025
Myles Garrett,EDGE,Defense - Front,Cle,Cle,Extension,9.5,9.3,-0.1999999999999993,85.0,Workhorse,1.61,High,10.0,10.0,4,160000000,40000000.0,Superstar,2025-06-02,2025
Ronnie Stanley,LT,Offense - Line,Bal,Bal,Extension,8.5,8.3,-0.1999999999999993,95.0,Workhorse,1.61,High,10.0,10.0,3,60000000,20000000.0,Star,2025-06-02,2025
