team,unit,impact_gained,impact_lost,net_impact
NYG,Offense,6.46,-0.45999999999999996,6.92
Ten,Offense,6.8,0.0,6.8
NYJ,Offense,0.0,-5.4,5.4
Cle,Offense,3.65,0.0,3.65
Buf,Offense,0.0,0.0,0.0
Bal,Offense,0.0,0.0,0.0
NE,Offense,0.0,0.0,0.0
SF,Offense,0.0,0.0,0.0
Dal,Offense,0.0,0.0,0.0
LAR,Offense,0.0,0.0,0.0
GB,Offense,0.0,0.0,0.0
Sea,Offense,0.0,0.0,0.0
Hou,Offense,0.0,0.0,0.0
NO,Offense,0.0,0.0,0.0
Min,Offense,0.0,0.0,0.0
KC,Offense,0.0,0.0,0.0
Det,Offense,0.0,0.0,0.0
Ari,Offense,0.0,0.0,0.0
TB,Offense,0.0,0.0,0.0
Atl,Offense,0.0,0.0,0.0
Ind,Offense,0.0,0.0,0.0
Den,Offense,0.0,0.0,0.0
LAC,Offense,0.0,0.0,0.0
Chi,Offense,0.0,0.0,0.0
Car,Offense,0.0,0.0,0.0
Cin,Offense,0.0,0.0,0.0
LV,Offense,0.0,0.0,0.0
Jac,Offense,0.0,0.0,0.0
Was,Offense,0.0,0.0,0.0
Mia,Offense,0.0,0.0,0.0
Phi,Offense,-0.45999999999999996,0.0,-0.45999999999999996
Pit,Offense,0.0,6.46,-6.46
